Feature,Ranking
DoutAIR,18
I,17
TinH2,16
DWAT,15
TinWAT,14
J,13
ToutH2,12
PoutAIR,11
HrAIRFC,10
PinAIR,9
DinAIR,8
TinAIR,7
DoutH2,6
ToutAIR,5
PoutH2,4
ToutWAT,3
DinH2,2
PinH2,1
