Metric,Value
Train_RMSE,0.0032180102929531616
Train_MAE,0.0017528231117625134
Train_R2,0.9935588115306812
Train_MAPE,0.0005366327719551816
Test_RMSE,0.007847922979448675
Test_MAE,0.00396088542482142
Test_R2,0.9650911819063543
Test_MAPE,0.001212142660677778
CV_Mean_RMSE,0.007363040801375388
CV_Std_RMSE,0.0017488951912460883
CV_Mean_MAE,0.004298735415416791
CV_Std_MAE,0.0006066898262986074
CV_Mean_R2,0.9619603256740415
CV_Std_R2,0.022481932356415036
