Feature,Ranking
TinAIR,18
I,17
TinH2,16
J,15
DWAT,14
PoutAIR,13
ToutH2,12
TinWAT,11
ToutWAT,10
HrAIRFC,9
DinH2,8
DoutAIR,7
PinH2,6
ToutAIR,5
DinAIR,4
DoutH2,3
PoutH2,2
PinAIR,1
