n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,9.618421754133553e-05,0.9335190502390469,0.00704938118288021,0.002190745913348711,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
17,9.353593273482542e-05,0.935882862964515,0.006961003389085445,0.0021628352431837545,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
16,8.792007358635329e-05,0.9393063628386701,0.00675438798046408,0.002097896569735044,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
15,8.39997060485116e-05,0.9422744663806168,0.006559333683147263,0.00203778713560385,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,PinH2,DinH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
14,8.325638553363594e-05,0.9432160302027823,0.006545662233214597,0.0020334655233107345,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,PinH2,DinH2,DoutAIR,DWAT,HrAIRFC"
13,8.818888771442468e-05,0.9392885454080199,0.006784373342291794,0.002107387425602096,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,PinH2,DinH2,DoutAIR,DWAT,HrAIRFC"
12,8.063632164208508e-05,0.9445607033720945,0.006584939207894614,0.002045509477145294,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,DinH2,DoutAIR,DWAT,HrAIRFC"
11,8.416035087276046e-05,0.9421686681094077,0.006649013475654339,0.0020651205555824335,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,DinH2,DWAT,HrAIRFC"
10,8.182488605490567e-05,0.9437392033852958,0.006586196566999212,0.0020462073789787863,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,DWAT,HrAIRFC"
9,8.218852142158483e-05,0.9430043925734596,0.006670378457247559,0.0020732970796275402,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,DWAT"
8,7.872337088494293e-05,0.9453776474900675,0.006574985921416636,0.0020430884869635795,"J,I,TinH2,ToutH2,TinAIR,TinWAT,PoutAIR,DWAT"
7,7.672592527507674e-05,0.9458684245001189,0.006696641133223114,0.0020809643226980864,"J,I,TinH2,ToutH2,TinAIR,PoutAIR,DWAT"
6,8.379436147929282e-05,0.9408415129952935,0.007051845238906102,0.002191830038444689,"J,I,TinH2,TinAIR,PoutAIR,DWAT"
5,8.852355561700379e-05,0.937881278117229,0.007154399109140515,0.00222121865472938,"J,I,TinH2,TinAIR,DWAT"
4,9.691034189288596e-05,0.9317367455660701,0.007488902416840857,0.0023269311751235007,"J,I,TinH2,TinAIR"
3,9.80271037117916e-05,0.9310074769671344,0.007555439792528078,0.0023480625740297497,"I,TinH2,TinAIR"
2,0.00014149412177246102,0.9005071300581193,0.009373891956745189,0.002909406029826229,"I,TinAIR"
1,0.0005214256667896663,0.6404638931895019,0.01756714161950593,0.0054615555880427125,TinAIR
