Metric,Value
Train_RMSE,0.004488298735951428
Train_MAE,0.0032667371119677407
Train_R2,0.9874698964590009
Train_MAPE,0.0009989765414771465
Test_RMSE,0.007605302792596883
Test_MAE,0.005065594577813579
Test_R2,0.967216244679538
Test_MAPE,0.0015505882496008377
CV_Mean_RMSE,0.007597658151751836
CV_Std_RMSE,0.0007718976251696345
CV_Mean_MAE,0.005516334850022696
CV_Std_MAE,0.0004089946219485241
CV_Mean_R2,0.9617761391780458
CV_Std_R2,0.012488055312032887
