J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
0.0054642625202247965,0.00394292478094206,-0.0007506548443793158,-0.0002259473347229992,-0.00025935498306511455,0.0033867918673299202,-5.868820701185023e-05,0.006055489337198881,0.008049098847206537,0.00026745415128396016,-3.8207549156546194e-05,-0.00048330821498822585,0.0004444319749746151,0.052367748064957434,0.00018210272969170044,0.0018109060009835797
1.5650982388614885e-05,0.001428134902058062,0.0002835242635607276,-0.0005299957897757194,-0.00017615766429114718,0.0029655458462473834,0.0008167056608830652,0.004111156013342487,-0.0045687133746360195,-0.00010453808587544167,0.0001561583421938992,-0.0005223254503195413,0.0004944744794737891,0.04673673417313618,-9.261143826154177e-06,0.001438242666421825
-0.0009128324542594392,-0.0022354682862517276,-0.0006165068043822806,-0.0005777315348491613,-0.0005572989992117421,-0.0017570911562439233,-0.0004913056660850254,-0.0010551425321538206,-0.0011810019188460642,8.501419885807832e-05,0.00017328536157489933,-0.0032542183142244474,-0.0005287569967546276,0.01153924501665434,0.0020898929427635954,-0.0009021613276483352
0.002367765145416522,0.0016732214240663046,0.0038716335848488787,0.00041383366592773863,-5.717147275570629e-05,-0.0003989221020198935,0.0010983678654837327,0.0032727235242845073,-0.00450080389117004,-0.00015591011428153765,0.00012701594476355915,0.0011298854259190554,0.0003702934222946235,-0.023243900400205773,0.0007643591109178839,0.0021910288284198295
0.0029179739967689013,0.0007880126332002759,-8.199594940789136e-05,-0.00019033475254727575,0.0009577577920726594,-0.0013275650975205979,-0.00017425102495978402,-0.005630054480853587,0.003627032562477824,0.00015254396560338292,-0.00012628959972912874,0.002971647781747493,-0.0004267696545756727,0.015322639264207273,0.000461099276132536,0.0007233112539862198
0.0013792662104957758,-0.0008971640673234246,0.001853040346620944,-3.948334017515716e-05,0.001227160006404367,-0.0014558532525696878,-0.0003626073886653461,-0.0019091007290432222,-0.0031908912820833913,-0.00031714131946970487,3.414931482573251e-05,-0.000997289081075146,0.00038591117495764767,-0.028763341178684558,-0.0016273319758253065,0.0020239306548178646
0.0032847316127492293,-0.0011234358189859371,-0.0014770394774110682,0.0001132589490280881,0.0010943526210876805,-0.0005676260405509979,9.098315072667065e-06,-0.00020888274675606464,-0.003566211405448631,0.00032369535629911747,-0.0002345563433931205,0.0007725178882414809,-0.0010144885195420774,-0.028499270644796352,0.00017714957195726628,-0.0012112001104802534
-0.00430988350940996,-0.0015598676662654924,-0.001979685204637998,0.0002048734501491874,-0.001744697412896605,-0.0007794170928658334,-0.00029959036871347633,-0.002082794106624147,-0.00264704183487152,-0.00023840921639308626,0.0005071091260626979,0.0011054482016292578,-0.00045976286356065046,-0.03323091573081648,-0.002007923282348056,-0.002117387023963518
-0.0024993531009011947,-0.00041908378154854815,0.002117451199140444,-3.521737727598967e-05,2.5958612003320723e-05,-0.000472867453688134,-0.0003010770940903592,-0.003646931845079051,-0.0010446964435422053,-6.44462608405171e-05,0.00019952579490914812,0.0008126225776838267,0.00038113581442267264,-0.029390412044478648,-0.00033028649564476465,-0.0009531402666394023
0.0007519579872042048,0.0012093545771437585,0.00044917950073480406,-0.00043999711021954223,-0.00042876251667959083,0.003837379669681414,0.0006809050493733493,0.004670126809551269,-0.00043773875349425323,-0.0002822136007052049,5.7044160779524824e-05,0.00041656681646477203,-0.0009040678747072196,0.04404792482502625,-0.0005296017127184799,0.001495037573167774
