n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,0.00013940288553154857,0.9024961384666528,0.008136729780057255,0.0025247167210406406,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
17,0.0001380051721715458,0.9033634810420755,0.008052641142849811,0.002498429706502126,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
16,0.0001430007191931365,0.89936937801473,0.008173336424793337,0.0025360031974785554,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,HrAIRFC"
15,0.00014602397082122293,0.8975382987399529,0.008320128397048872,0.0025817249502888637,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DinAIR,DoutAIR,HrAIRFC"
14,0.00015072119087863197,0.8944851089647144,0.008467481646640792,0.0026278053167674807,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,DinH2,DinAIR,DoutAIR,HrAIRFC"
13,0.00014882316714682686,0.8960392603484733,0.008434353033862167,0.002617550760496642,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,DinH2,DinAIR,DoutAIR"
12,0.00014169695595366434,0.9007579124939451,0.008242122239568926,0.00255768934557944,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,DinH2,DinAIR,DoutAIR"
11,0.00015103021228375662,0.8940907135494033,0.008578798169905132,0.0026614872532411634,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,DinAIR,DoutAIR"
10,0.00015212847495077708,0.893364733966455,0.008688455541145957,0.0026953628152406066,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,DinAIR,DoutAIR"
9,0.00015026285997620875,0.8943245369445947,0.00860333961376849,0.0026690469648470217,"J,I,TinH2,ToutH2,TinAIR,TinWAT,ToutWAT,PoutAIR,DoutAIR"
8,0.000153875795305416,0.8915087681766953,0.00882682488599158,0.0027393169549634667,"J,I,TinH2,ToutH2,TinAIR,ToutWAT,PoutAIR,DoutAIR"
7,0.00015285654457034074,0.892494262892566,0.008906400509896033,0.0027646185048027477,"J,I,TinH2,ToutH2,TinAIR,PoutAIR,DoutAIR"
6,0.00016950543205097364,0.8811916074945534,0.009722158638230614,0.00301976986813039,"J,I,TinH2,ToutH2,TinAIR,PoutAIR"
5,0.0001697497607947563,0.8814670474161032,0.009777645412446186,0.0030359051090470884,"J,I,TinH2,ToutH2,TinAIR"
4,0.00018392936265782287,0.8719272992128252,0.010208409559161394,0.003170091352082992,"J,I,TinH2,TinAIR"
3,0.00023893337398504916,0.8343339126776433,0.011678464151559521,0.003625192702464098,"I,TinH2,TinAIR"
2,0.0002921704954202006,0.7958884534639317,0.01307831879693316,0.004058158655929617,"I,TinH2"
1,0.0005777326066261309,0.5968654191706754,0.01973029256495265,0.006138448925186274,TinH2
