Metric,Value
Train_RMSE,0.008816816944230938
Train_MAE,0.005843109188374034
Train_R2,0.9474953390059417
Train_MAPE,0.001812599542853071
Test_RMSE,0.011245696854967676
Test_MAE,0.007706519420618176
Test_R2,0.9256176454975915
Test_MAPE,0.002388560591505623
CV_Mean_RMSE,0.011697411849505946
CV_Std_RMSE,0.0010843100085232485
CV_Mean_MAE,0.008052641142849811
CV_Std_MAE,0.0006403486292375312
CV_Mean_R2,0.9033634810420755
CV_Std_R2,0.018577019870489715
