Feature,Importance
TinAIR,0.17693769931793213
TinH2,0.1564108431339264
J,0.13954362273216248
ToutH2,0.09679251164197922
I,0.08423115313053131
DoutAIR,0.05973859503865242
PoutAIR,0.05621472746133804
ToutWAT,0.053158700466156006
TinWAT,0.03378274291753769
DinAIR,0.03069278970360756
PinAIR,0.023266805335879326
DinH2,0.02058865688741207
ToutAIR,0.018676158040761948
DoutH2,0.013589942827820778
HrAIRFC,0.013199783861637115
PinH2,0.012961101718246937
DWAT,0.010214176960289478
