Feature,Importance
TinH2,0.16770321
I,0.16461433
TinAIR,0.15605338
ToutH2,0.09041323
J,0.08887057
ToutWAT,0.058391344
DoutAIR,0.056237932
PoutAIR,0.04191845
DinAIR,0.030695623
TinWAT,0.027031386
HrAIRFC,0.022530021
ToutAIR,0.020474449
DinH2,0.020327669
PinAIR,0.020307783
PinH2,0.01283913
DWAT,0.011094114
DoutH2,0.010497275
