n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,6.048794751925398e-05,0.9565645637005421,0.005563660596498376,0.001728945907635259,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
17,6.0236552407645564e-05,0.9567072191510192,0.00556203230708251,0.0017284492543065545,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PinAIR (mbara),PoutAIR (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
16,6.131088039798244e-05,0.9558884200138502,0.0055910171044495595,0.0017374684612913936,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
15,6.008696774361897e-05,0.9570107796136382,0.005534898999053987,0.0017198141672570022,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
14,6.125086328999179e-05,0.9559292069406904,0.005609756625275026,0.001743534345054831,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),DinH2 (l/mn),DoutH2 (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
13,6.178743108603502e-05,0.9557113011056482,0.0056891862635581065,0.0017683481803938157,"J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),DinH2 (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
12,6.218020659497495e-05,0.9554326916752134,0.005746883219523555,0.001786082878589969,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),DinH2 (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
11,6.234950939412892e-05,0.9554148153317519,0.0057397159741218815,0.0017841962129347667,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
10,6.519437395282254e-05,0.9532886726739596,0.0058903764693809795,0.001831517277976762,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),PoutAIR (mbara),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
9,6.691807017576328e-05,0.9516638633417965,0.006054635810333912,0.0018815744740856553,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),PoutAIR (mbara),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
8,6.777369766930384e-05,0.9521235885413566,0.006095712063475475,0.0018930543760864924,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)"
7,6.996998673496386e-05,0.9507532648461193,0.006218420355432698,0.0019317248785450704,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),DWAT (l/mn),HrAIRFC (%)"
6,7.670391301496782e-05,0.9458104385783992,0.006464011796939362,0.002007828392840044,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),DWAT (l/mn)"
5,7.822604207137182e-05,0.9445181360263609,0.006634518898896889,0.0020619351999646316,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C)"
4,8.819102238655174e-05,0.937341170515434,0.007074331825721166,0.002198328990331749,"J (A/cm²),TinH2 (°C),ToutH2 (°C),TinAIR (°C)"
3,0.0001306052197900766,0.9058366156930834,0.008552055416139976,0.0026539625811763485,"J (A/cm²),ToutH2 (°C),TinAIR (°C)"
2,0.00042525183627932446,0.7061245798256353,0.013637235328008864,0.004229891070511216,"J (A/cm²),ToutH2 (°C)"
1,0.0009277212704290218,0.36142678536935513,0.02388028454043447,0.007401896008808524,J (A/cm²)
