J (A/cm²),I (A),TinH2 (°C),ToutH2 (°C),TinAIR (°C),ToutAIR (°C),TinWAT (°C),ToutWAT (°C),PoutAIR (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
-0.023015291439666057,-0.0034440565656496964,-0.005937855399983822,-0.000920904782855617,-0.017324648675726802,0.0005405412104652687,-0.0017307428559130448,0.0005879827354468514,-0.0011773739651445986,0.00018928537643072625,-5.361204461217843e-05,0.0010434128203719076,-0.006809367654253874,-0.002936656093611306,-0.0006885492326989957
-0.009579040506669053,-0.0023915045815356504,0.012284030584043528,0.00015572378167740133,0.0285952961438631,0.0011699589858365053,0.0022430940879632822,0.0016373760549509033,-0.004686914894400429,-0.0008035892965371777,-0.00025444882715756125,0.00035510163704723677,0.0010190406057936985,0.0013749767331878136,-0.0014365093655605457
0.007553503683882302,0.006581506420315312,-0.0035903835337404255,-0.0007941996257676984,-0.011551422676477598,0.0008735565934274133,-0.001716473660368285,0.00019938561674352087,-0.0006841987715077713,-1.8803182725051062e-05,-9.982144091310809e-05,-0.0003613793455685119,0.0013179931670705312,-0.00021943154148557138,-0.0006319908870421765
0.0030762651085781637,-0.0060050657554942795,0.0038946487716722844,0.0004727021904014754,-0.01509071659842498,-0.0002990228834717301,9.019170855925655e-05,-0.00370261706244267,-0.0007777193890685553,-0.00029061226231884556,0.0006374371362787068,-0.0014922224096644526,0.0008774062566100324,-0.0008566058499499693,0.00020538411105989581
-0.00938906353324886,-0.0027145739000962155,0.008807458999431514,-0.0036702900692523466,0.024792342353783258,-0.000873186296962914,-0.0004969390334854672,-0.0026186534192038226,-0.005988815760229717,-4.2133311973461094e-05,1.20800198964197e-05,0.0003039053633864404,0.0009163682739838019,-9.461497832073894e-05,-0.0009385874087436165
0.01608693541580045,0.009021894796701593,-0.0036529663406401685,-0.0011663852490352837,-0.0110818349158493,-1.6277161636042448e-05,-0.0014489230153526256,-0.0011160915959860889,-0.0006953106200067314,0.0003784372406815581,-0.00023579135564400942,3.043871354270972e-05,0.002512454074330123,-6.0077309589723135e-05,-0.001759395755610035
-0.003722706225025575,-0.004192697821234833,-0.004776834838269449,-0.0007842593315954549,-0.011738879969121025,0.0008123109645861504,0.002060067546626874,0.0014335619570444377,-0.0021796951562283416,0.0006811421647770769,-0.00018455219129405898,0.00010825330442102036,0.0029972295183319417,0.0034977742871517884,-0.000410660107348564
-0.01686485637174756,-0.0029201447177654746,-0.00509178713086196,-0.0007872261318204261,-0.013067867303598962,0.0008753691009159713,0.0001431624543519102,-0.001625854430752188,-0.0009101065410593334,0.00023053897276687415,0.00014734680959792008,0.001137186845590644,-0.0032089119719318168,0.0055412271358036445,-0.0005664559898143859
-0.0015273654948050838,-0.002741028471783686,0.013163251389212437,-0.000742475381935784,0.0312090521769306,-0.0002452555504353095,-0.0023626565949550434,-0.004796750686228179,0.004911514949734209,5.6562438812332125e-05,-0.0008709932128672962,-0.0005705654106174521,-0.00031242197402385887,-0.002975485289635033,-0.0015934027902036693
0.005727741459523898,0.00511473091024703,-0.005793579893938407,-0.001056371054879634,-0.01228235312237998,0.0004583267809972657,-0.0021598372381248635,0.0010052594831133407,-0.0005958655820474664,0.00030944799537397207,-9.478925159926451e-05,0.00022951529514867128,0.0013141415740021345,-0.00012054579897415514,-0.0012501823484888461
0.008342480717283612,0.005426462461162707,-0.003625378944202838,-0.0008944074395110613,-0.011232770239500672,-2.206804005974983e-05,0.0012622078182038567,0.000767229877595117,-0.0006251079304862645,0.0004811377330768213,-0.0002820502404178181,-4.093253881585843e-05,0.0027681896850004755,0.0005309585643589696,0.0012714295009918053
0.0011545573237730028,-0.0023156879652608893,0.018109090667264877,0.0039404131285577255,0.03456822350310098,0.0002206528672816757,0.0031182048907612762,0.0012580542822603373,0.009222738295907001,0.0003952691736011273,0.0005331502044376399,-0.00045608478902103925,0.000744058867657951,-0.002762279418666788,0.001665562859650676
0.01816260918642625,0.004032495631299256,0.01981616078475568,0.004620733732751055,0.03590409074260424,0.0007304083540327634,-0.0017017912775155002,-0.002522928162683695,0.010292274131224124,-0.0001047575452088537,-7.101344619874866e-05,-3.950959535584521e-05,0.001258193087650395,0.0022373464518184055,-0.001147031560172169
-0.0062927647131951715,-0.005522871044009251,-0.005936865457338134,-0.0011770455441011192,-0.016113624211644886,-0.0009969848869857691,-0.002835476888022437,0.0006680139679826356,-0.0017019511654419986,-0.0010637020535027378,0.00014541016963492325,-0.0007778458193588491,-0.009202279836199843,-0.0014296540076798008,-0.00047560920721724336
-0.0033041387083741357,-0.005864008896186335,-0.005249877908057814,-0.0010728545387155039,-0.0165148453569631,-5.199093563542049e-05,0.0009734811334719901,0.0009863732263596023,-0.002676189949624761,-0.0005138867533795236,-0.00037889144730764244,0.00028755441360133274,-0.0001329377436104285,-0.0004414836273555225,-0.0006611722874535303
0.012095489570220915,0.002900662730074373,0.017802967747067248,0.00432141469711649,0.03747131277508279,0.00044653145631187344,0.0018794108222990925,0.0005624762600456845,0.00979219529511369,0.0002043101926298621,-3.3715691826247445e-05,0.0002465596841659486,0.0013556577688876885,0.0030602587423034164,0.0009067075655556117
0.0017304111478196234,-0.00820865128155052,-0.006797833389240605,-0.0018341778390795537,-0.01708283627394492,-0.0003595349313662945,-0.00541121274400299,-0.008934476923886863,-0.0030575316028846715,-0.0005651226867632409,-0.001019278240680321,-3.3634866119092106e-05,0.0010504972893896297,0.0004079073580547184,-0.00040334569643755524
-0.004703866701886813,-0.0026450664017313545,0.011772061170716153,0.00036269635196221965,0.030992304046005156,0.001363913584126568,-0.002711594758150994,0.001701473416099111,-0.00407630687608108,0.0005252143078602004,0.00047274483295359833,0.0006026254847445906,0.0011308982117866936,0.002025694461766769,-0.0006440495496354816
0.0057903129161204075,0.0035370577159146857,-0.006423844986716226,-0.0013905960101962514,-0.012457049778114076,2.858945133036248e-05,0.0007572292426837599,0.0008607110502596243,-0.0008322020998619803,-0.00027472510557799743,-0.00020157927373896052,0.00010741109981433246,0.00019904086406525166,-0.0001596307838449244,-0.0012940419787385818
-0.025951221420414654,-0.0034469716039587815,-0.006581734083347178,-0.001094237670087966,-0.017751912170142832,-0.0009870242428164505,0.0002899371616310988,0.00063104093923123,-0.0015068071349932345,0.000218861707153628,-0.0001248199011788879,-0.0012087264628137218,-0.009439231545207141,-0.0029148321323618884,-0.0009604637148516287
