Feature,Importance
J (A/cm²),160.8
TinAIR (°C),75.9
DoutAIR (l/mn),67.4
DWAT (l/mn),66.1
TinH2 (°C),65.5
HrAIRFC (%),65.5
PoutAIR (mbara),64.9
ToutAIR (°C),58.3
ToutH2 (°C),57.9
ToutWAT (°C),54.8
TinWAT (°C),53.9
DinH2 (l/mn),31.5
I (A),30.9
DoutH2 (l/mn),29.9
PinH2 (mbara),29.8
