n_features,avg_mse,avg_r2,avg_mae,avg_mape,features
18,4.113771454116679e-05,0.9707909937772594,0.00426751789790915,0.0013259349473493168,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
17,4.133879355045869e-05,0.9706303577608069,0.00426952762024959,0.00132649876692022,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
16,4.114899838029697e-05,0.9708557432436372,0.004252159573064402,0.0013210676926267194,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC"
15,4.0705166276641054e-05,0.9711094758876833,0.004215081768677997,0.001309523415757759,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,PinH2,DinH2,DoutH2,DoutAIR,DWAT,HrAIRFC"
14,4.1454625189631056e-05,0.9705793566567055,0.004257834091160896,0.001322761975758893,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,DinH2,DoutH2,DoutAIR,DWAT,HrAIRFC"
13,4.068238512647927e-05,0.9713117183924392,0.004245645434392399,0.0013189881249271096,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,DinH2,DoutAIR,DWAT,HrAIRFC"
12,4.0467384092071825e-05,0.9712791207433218,0.004262105410135725,0.0013240650206877106,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,DoutAIR,DWAT,HrAIRFC"
11,4.318097856871991e-05,0.969356609745218,0.004379216076665316,0.001360848851569145,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PoutAIR,DoutAIR,DWAT,HrAIRFC"
10,4.533336642453692e-05,0.9677848062237882,0.00448309633310921,0.0013933461696317318,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PoutAIR,DoutAIR,DWAT"
9,4.699867727676999e-05,0.9665821973084154,0.004579869704082778,0.0014239097504610923,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,PoutAIR,DoutAIR"
8,4.615238365435025e-05,0.9667563930773777,0.004504237177042276,0.00139950558358097,"J,I,TinH2,ToutH2,TinAIR,ToutAIR,PoutAIR,DoutAIR"
7,5.4571243976105144e-05,0.9606568331828631,0.004875225861977747,0.0015142946722044612,"J,I,TinH2,ToutH2,TinAIR,PoutAIR,DoutAIR"
6,5.710290501332951e-05,0.9581594496734397,0.0050297426740130045,0.0015629910161970896,"J,I,TinH2,TinAIR,PoutAIR,DoutAIR"
5,6.100197645306556e-05,0.9560320064886241,0.005041876731139801,0.001566362707228856,"J,I,TinH2,TinAIR,DoutAIR"
4,6.324467121286599e-05,0.9546386649538915,0.0051273981393357175,0.001592191335873796,"J,I,TinH2,TinAIR"
3,6.324654333016737e-05,0.9547054503061508,0.005122659572971726,0.0015906308600877374,"I,TinH2,TinAIR"
2,0.00011178737966201391,0.9206919430489723,0.007275591358126217,0.00225562990585981,"I,TinAIR"
1,0.000648170078145161,0.5481450629590362,0.0188636353987011,0.005865690876528785,TinAIR
