J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PoutAIR,DoutAIR,DWAT,HrAIRFC
-0.010101127399073942,-0.01042381598130712,-0.010408243384736861,-0.00022902068515381533,-0.014620800375991349,0.00022930693415487854,-0.001361404430712005,0.0002304144144360899,-0.0007112816288314745,-0.009240085183744718,-0.0023251671084335217,-0.00028288698372457846
-0.006612325687115146,-0.007876307813723369,0.01817056784853378,0.0002657351614450322,0.021266358425472975,0.000884853071122198,0.0021204387903075036,0.0010318586948608619,-0.003830615274265172,0.0018027530679118836,0.0001999821123665325,-0.0012265446032895585
0.008747294258066847,0.00950980360647432,-0.004569295927846651,-0.0003734925942231413,-0.009937629517918191,-0.0007381943363708971,-0.00136955350531361,4.851700836277627e-05,-0.0004634419540253675,0.001810325075187803,-6.665971046834415e-05,-0.0005606853527422654
-0.0026885246265983434,-0.0021312741406734823,0.010373216345145042,0.0005124290278006646,-0.019106487545678855,-0.0010897955946352106,-0.0007815021661992218,-0.00321499386899831,-0.001123865155207628,0.002421119438067073,-0.00026568240965155307,-0.0004969784176790044
-0.006122496131353863,-0.006148561383442938,0.014019808862353563,-0.003528073978137671,0.019440931980233354,-0.00133365251744394,-0.0010591516691522839,-0.0021045782888475025,-0.0043316897928155785,0.0014647324929866117,-0.0006010314114009877,-0.0008312439760971179
0.011804647171732813,0.011945301754702754,-0.00513911874780359,-0.0007641374284065947,-0.011034701552522766,-0.0012965394185327677,-0.0014403508664203128,-0.0010211951149878184,-0.0010705502998248542,0.003481086012484982,0.00018559482387069188,-0.0019315130997919893
-0.004534106454047399,-0.0035401670053823876,-0.0074367214675775456,-0.00029070191734800174,-0.010911297324548687,0.0024890006150221603,0.0016542455777568872,0.0015005371523818685,-0.0024331536237521285,0.0018843946139010081,0.003811775062345367,-0.00012804731091750764
-0.008813595608686605,-0.00959036626666594,-0.008884653468539127,-0.00011653825495898405,-0.012006175443326952,0.00048596086863053996,-0.00019434767345309064,-0.0014410748301746897,-0.0008377181101044362,-0.004810217234826876,0.007901115005523048,-0.000265386336614835
-0.002060813423779351,-0.0021621643738099316,0.019480685593729185,0.00035652468047820643,0.024486713209330612,-0.007855019770121194,-0.003031903484625467,-0.002958840234489427,0.002862374200021603,7.545308417218087e-05,-0.0008607493129785088,-0.0013162695667605277
0.006593689946385431,0.006875472627770318,-0.007906156484849027,-0.0005215270165864231,-0.01168875223793944,0.0010833726329765006,-0.001855407828797248,0.0008629183702674372,-0.0007443620350977069,0.001181539619568691,0.0002492790050926302,-0.000616742519052707
