J,I,TinH2,ToutH2,ToutAIR,TinWAT,PinAIR,PoutAIR,DoutH2,DinAIR,DoutAIR,DWAT
-0.0012971924,-0.00061125465,0.003228967,-0.00026315564,0.00015794572,0.00065834844,0.0022674077,0.008729731,1.1730824e-05,0.00037554244,0.05642711,0.0012200214
0.0014924218,0.00060832617,0.0018894987,0.0004935758,7.174705e-05,0.0006536466,0.0021566912,-0.0016756727,0.00010616466,0.00032829444,0.04886101,-0.0012323799
0.0011292635,-2.5590329e-05,-0.004555234,0.00029219067,3.8764476e-05,9.3832256e-05,-0.00056678365,0.00095926493,-0.0008111146,0.00037574855,0.013553114,0.0011239822
0.002388575,0.00091047527,0.00044770405,0.00036779876,0.00013252169,-0.0012805113,0.0015686171,-0.005082185,0.00080868305,0.00042104555,-0.026401209,0.0012807157
0.0015153121,0.00016692078,0.00063540024,-0.00028067728,-0.00057339284,0.00043429623,-0.008363857,0.004044164,0.000799825,0.00039314028,0.01996917,0.0015969848
0.00176397,0.00024561095,0.00032373806,0.00021921707,0.00010086258,6.5740073e-06,-0.0011664374,-0.00039853147,-0.00010707279,0.0003884908,-0.031114988,-0.0013519102
0.0013875293,-0.00020297742,0.0003049327,-0.0009789444,0.00013263326,-0.0062379534,-0.00014387396,-0.0025713907,0.0004592088,0.00038307457,-0.028332872,-0.0005301334
-0.0069810944,-0.0017709227,0.00035022653,-0.0006049454,-0.0005305506,0.00022521133,-0.0012879623,-0.0019514867,0.0002908033,-0.0019824682,-0.03427166,-0.0012171037
-0.0029887015,-0.0015978293,0.00032154316,0.00018147679,0.00010352713,9.802732e-05,-0.004523105,0.0013677708,0.0001983028,0.00034680002,-0.030090095,-0.00041534603
0.0023123536,0.0006437741,0.001986385,0.00062662567,7.316594e-05,0.00064680056,0.0019292748,0.0013108858,0.0005491654,0.00035701043,0.05119703,-0.0014521454
0.002085203,0.0004740273,-0.0008208452,0.00025062563,9.323879e-05,0.00021666211,-0.0012963935,0.0011529771,0.0006378506,0.00041434987,0.014579601,0.0017432605
0.001377795,-0.0003369073,0.0012162742,0.00035355665,-0.0010108767,0.0003512653,0.0016965409,-0.0045454875,0.00010332747,0.0003891488,-0.029794488,-0.00030952264
0.0014691143,-0.00037105073,0.00032423314,-0.000779342,0.00012259698,0.00034248465,-0.00026688393,-0.0018052706,0.00031593614,0.00038985908,-0.030173168,-0.00068552664
0.0022155785,0.0006390674,9.9162615e-05,0.00035766244,0.00015024733,9.4658164e-05,0.0019380458,-0.0017099768,-0.0008333623,0.00041203023,-0.009695405,0.0014204548
0.0010662552,-3.026591e-05,-0.004474832,0.00029219067,3.4684934e-05,0.00013523815,-0.0008162395,0.0009932133,-0.0012140422,0.00037574855,0.0132096,0.0010177866
-0.0024615852,-0.0012822228,-0.0039574103,-0.00027395273,-0.00014119252,0.0005034583,0.001599453,-0.00033954062,-0.00082865835,0.0003240374,0.00478153,0.0009832489
0.0006629803,-0.0003926753,0.0003227161,-0.001092263,8.175257e-05,0.00020590714,0.0011935432,-0.00528085,0.00044341406,0.00038461637,-0.0323044,-0.0011568378
-0.006308684,-0.0018732004,0.0003211031,5.70687e-05,7.32633e-05,-0.0017017121,-0.00045862168,-0.0021745982,-0.00040889008,0.0003632615,-0.032235447,-0.0010360382
-0.005222587,-0.0013479635,0.00034379997,-0.00037084788,-0.00048759847,0.00019695397,-0.0038833595,-0.00021882703,0.00042985778,-0.017102962,-0.03503853,-0.0010278053
0.0017792312,0.00027676907,0.0004196008,0.00025118934,0.00010086258,6.5740073e-06,-0.00060044735,-0.0016916739,-9.916263e-05,0.0003830761,-0.031101545,-0.0013404939
0.0010262564,-0.0006716841,0.00035176834,0.00016875766,0.00010713897,0.0003429056,-0.0014679122,-0.0016468714,0.0005562288,0.00039835548,-0.030134087,0.00082591176
-0.004207464,-0.0018629559,0.00030846312,-0.0007848283,-0.0007290639,0.00013429548,-0.00041320027,-0.002615655,-5.7225956e-05,0.00035789085,-0.033334386,-0.0013178037
-0.001884662,-0.0010124967,-0.0069580534,-0.0005435974,-0.00010797101,0.00032237775,-0.006976906,0.004343218,3.9800587e-05,0.00032033562,0.00067847205,-0.00091729546
-0.0018880557,-0.0010140655,-0.004448442,-0.0005435974,-0.00010748908,0.00029702103,-0.0069294595,0.0043643233,-1.857989e-05,0.0003200095,0.0012000654,-0.0008818227
0.0011368877,-3.6682024e-05,0.0004174441,-0.00081791094,-0.00086074416,0.00033877362,-0.0005905667,-0.0019832822,0.00056115136,0.00040257088,-0.023518518,-0.0016234107
0.00260114,0.0009766379,0.0005418702,0.00040586657,0.00013254186,-0.00016694938,0.0017546364,-0.0028588406,0.00084319455,0.00043192637,-0.027397892,0.0020157364
0.0015860641,-0.00012552232,0.0010793398,0.00036346845,8.607152e-05,0.0002573394,0.0013211814,-0.0045284214,-0.0003770296,-0.0011841927,-0.029831452,0.00075255777
0.00028173625,-0.00092939404,0.00045252225,-8.0852966e-05,0.00014833779,-0.0012011948,-0.00063604774,-0.001847384,0.0006861004,0.0004155545,-0.020199513,0.0012514556
0.0021713632,0.0006235108,0.0023151853,0.0005390487,0.00015812641,0.000585208,-9.478957e-05,0.007648088,0.00082708354,0.00038696066,0.05204878,0.0013410688
0.0015062485,0.0004214824,0.0013245555,7.669912e-05,-0.00051937567,0.00037102695,-0.00079325814,-0.0016340419,0.0007248955,0.0004279997,-0.02222031,0.0016593916
-0.0013619135,-0.0006177467,0.0031326953,0.00049333955,-0.00015515194,0.000596709,-6.7125984e-05,0.008323298,0.0007411896,0.00029443132,0.056284852,0.0015704227
0.0022918398,0.00086769916,0.0005952513,0.00034898033,0.00015678137,-0.00012624949,0.0018134043,-0.001961914,0.00030955317,0.0004151383,-0.00971756,0.0014462187
0.0014504713,0.00024802322,0.0007324724,7.105514e-05,0.000120990815,0.0006886152,0.0018988777,-0.0014303458,0.00011781288,0.00031363507,0.033893157,-0.0014888445
0.0013634005,0.00022227368,-0.00083560374,0.0002913777,6.2566956e-05,0.00014269388,-0.0007376337,0.0008350613,-0.0026389207,0.0003967092,0.013801998,0.0007003438
-0.012548,-0.0033826455,0.00046118052,0.00036914847,9.942779e-05,0.00014335822,0.0013458023,-0.0040086596,-3.585847e-05,0.0003037645,-0.030578068,0.0009096863
0.0015760349,0.00017535819,0.00047220435,0.0003401754,0.00013600598,-0.00014910207,0.0015211746,-0.005422005,8.705803e-05,0.0004023274,0.008779794,-0.00035085418
0.0014303208,0.00020750702,0.00043107275,0.0003069595,0.00012477052,0.000346908,0.00048679352,-0.0051637352,-0.000112470436,0.00039042882,-0.030516017,-0.0011766579
0.0017286114,0.0003206826,0.0004253919,0.00024403239,-0.0006207168,-0.0018905768,-0.0015152809,0.00097563496,-8.152207e-05,0.00039047527,0.020530432,-0.0013483772
0.00077271956,-0.0006508458,0.001227823,0.0002875937,0.00011760779,0.00028625445,-0.0008991281,0.0011566551,-0.00012338132,0.00041104306,-0.030589728,-0.000112267975
-0.011084311,-0.0033663467,0.0007679792,0.0003296749,0.000103249615,0.000151032,0.0012202665,-0.004001226,0.00039537408,-0.0024886632,-0.030127523,0.00094129494
0.0016726683,0.00049026724,0.0006231624,0.00028219784,8.651773e-05,0.00039579766,-0.00068129465,0.0010305335,-0.000121608726,0.00041163378,0.006969449,8.518739e-05
